,A.M. Lopez Obrador,Fechas,J. Rodriguez,J.A. Meade K.,M. Zavala,R. Anaya
0,46503,180113,2041,36898,4474,9800
1,42796,180114,1985,35407,4333,10362
2,42022,180115,1346,42222,4196,8591
3,46228,180116,1598,51106,5763,15535
4,49858,180117,1399,33873,6382,15765
5,50215,180118,1089,40614,4936,14727
6,52912,180119,755,52822,4470,11317
7,47049,180120,580,36373,6177,7738
8,70302,180121,615,34197,5547,17122
9,68775,180122,1198,32787,7279,16361
10,71022,180123,1038,37801,6372,19771
11,53606,180124,1297,50097,7232,17551
12,63677,180125,1166,41610,4277,11346
13,37185,180126,1047,33472,3862,7974
14,31660,180127,1562,26914,6069,8948
15,32266,180128,2181,30697,9177,11008
16,53276,180129,1424,37215,3360,23253
17,61308,180130,3331,32213,7173,17088
18,71854,180131,1459,39425,5539,19050
19,71730,180201,991,35255,8895,14534
20,57347,180202,942,38304,9336,13457
21,42228,180203,718,45153,3854,31134
22,45217,180204,352,32489,3258,38414
23,81120,180205,877,29801,5529,26773
24,99066,180206,2941,28519,4123,22846
25,79669,180207,2323,31368,3987,19734
26,71936,180208,3245,57951,6757,18600
27,73898,180209,1011,48660,6993,20193
28,51983,180210,1254,39164,6172,12612
29,63768,180211,1656,53097,8438,33800
30,73108,180212,1990,33974,7042,24372
31,62565,180213,1717,26977,4282,37997
32,46314,180214,1664,26732,5135,22192
33,57452,180215,2552,32968,6561,23802
34,45087,180216,1879,22271,4356,11192
35,44680,180217,1656,17213,6065,19783
36,70468,180218,792,55965,5002,42982
37,91006,180219,2700,37064,9008,20903
38,108310,180220,2304,39394,19197,20758
39,80270,180221,1378,41519,11432,33067
40,57886,180222,1097,47451,10693,37544
41,46479,180223,1743,41346,7876,32735
42,39884,180224,710,22525,7099,18746
43,43577,180225,646,24329,8001,49348
44,43962,180226,1872,39476,7814,53568
45,49055,180227,1610,55721,16886,63262
46,63184,180228,1254,43799,8733,54892
47,65880,180301,2640,42586,6489,65335
48,53146,180302,2531,39865,4805,49289
49,52524,180303,1563,26818,3732,38615
50,46881,180304,805,40619,5664,50331
51,51018,180305,1209,43893,8902,41619
52,51352,180306,2002,45788,6466,29432
53,64413,180307,6058,42947,11326,21088
54,56956,180308,3754,30395,13647,24472
55,71549,180309,3891,37093,11636,24099
56,64096,180310,2077,32944,9051,15848
57,57229,180311,2293,32576,19621,31730
58,82468,180312,1906,53909,14675,33248
59,72588,180313,969,47121,7046,28296
60,61618,180314,4598,38368,5141,26833
61,68741,180315,3119,31304,6561,15918
62,63099,180316,21856,23081,55408,15340
63,44349,180317,13769,21157,55574,18917
64,47067,180318,7730,50976,30547,12688
65,50190,180319,5543,33609,24268,11102
66,53515,180320,4154,27440,16793,12245
67,88273,180321,3354,29976,13998,16513
68,133774,180322,2978,31138,11178,18692
69,108326,180323,2147,39744,10726,13721
70,73855,180324,1414,30867,7798,11647
71,73424,180325,1303,37291,10334,16625
72,78665,180326,1047,41600,9759,18786
73,71887,180327,959,41489,11520,20422
74,52899,180328,2670,42225,10780,20607
75,38008,180329,2199,29939,17161,15171
76,67616,180330,1919,40549,45439,33488
77,82138,180331,1327,30657,19974,42461
78,127673,180402,1814,100408,25798,68322
79,126389,180403,1175,80498,17071,51957
80,128841,180404,1738,68096,18365,38034
81,111166,180405,824,69065,21161,30994
82,79980,180406,1310,45977,13716,20871
83,72223,180407,411,47351,11560,22206
84,87663,180408,320,50755,12711,20757
85,105701,180409,9144,51730,20581,24008
86,97578,180410,55153,36075,22319,17984
87,100327,180414,9370,76075,15032,19527
88,116825,180415,6419,91610,12318,14814
89,131658,180416,9806,59615,15524,18406
90,243490,180417,8325,57422,14250,32504
91,197034,180418,13059,57076,13283,35911
92,128620,180419,7645,67636,12702,25839
93,123612,180420,8092,70898,14098,33743
94,126035,180421,6323,81030,13915,28046
95,492292,180422,71794,242081,77910,110759
96,423467,180423,50526,128192,31043,150798
97,249073,180424,17977,101487,13886,122276
98,207485,180425,11491,74413,8262,135887
99,187927,180426,7801,58200,13527,82796
100,201852,180427,6151,50924,11652,41824
101,213424,180428,5225,40305,9506,44319
102,182812,180429,3606,40357,6750,65784
103,149833,180430,4586,49316,11327,96865
104,158949,180501,4301,59492,11616,71616
105,166773,180502,5766,71929,11209,56725
106,222690,180503,6933,52716,15501,44874
107,322501,180504,5363,49778,11104,26742
108,178168,180505,3255,44799,6834,52414
109,190600,180506,2604,49034,9686,31022
110,190002,180507,6457,75639,12421,32809
111,169895,180508,4414,168027,7792,41997
112,145618,180509,5017,73864,8352,63878
113,161434,180510,4583,56673,8224,136621
114,137434,180511,5000,41549,4692,67245
115,127530,180512,2309,32503,3272,41140
116,129896,180513,3881,35864,4782,38173
